School name,Suburb,What's happening?,Project type,coordinates x,coordinates y
Doncaster Secondary College,Doncaster,Minor Capital Works Fund,School upgrades,145.137233,-37.7844214
Donnybrook Primary School,Donnybrook,New School,New schools,144.997692,-37.5368623
Donvale Christian College,Donvale,Non-Government Schools Capital Fund,Non-government grants,145.1943035,-37.7738942
Donvale Preschool Association,Donvale,Building Blocks Inclusion Grant - Buildings and Playgrounds,Early childhood projects,145.1809688,-37.8001947
Dookie Primary School,Dookie,Minor Capital Works Fund,School upgrades,145.6825241,-36.331411
Doreen Primary School,Doreen,Upgrade and Modernisation | Inclusive Schools Fund – Round 6,School upgrades,145.1462002,-37.6061187
Doris Blackburn Preschool,Pascoe Vale South,Building Blocks Capacity Grant - Modular Kindergarten,Early childhood projects,144.9426109,-37.7491253
Dorrington Child and Family Hub,Mount Waverley,Building Blocks Capacity Grant | Building Blocks Planning Grant,Early childhood projects,145.1394878,-37.8773959
Dover Street Preschool,Oakleigh East,Building Blocks Partnership,Early childhood projects,145.1211415,-37.9099604
Dr Harry Little Preschool,Bendigo,Building Block Planning Grant | Building Blocks Inclusion Grant,Early childhood projects,144.2732758,-36.7546566
Dromana Preschool Inc,Dromana,Building Blocks Capacity Grant – Modular,Early childhood projects,144.9689493,-38.3366908
Dromana Primary School,Dromana,Upgrade and Modernisation,School upgrades,144.9595184,-38.3398399
Dromana Secondary College,Dromana,Permanent Modular School Buildings Program,School upgrades,145.0114476,-38.3428227
Drouin Primary Early Learning Centre,Drouin,Early Learning Facilities Upgrade,Early childhood projects,145.8554119,-38.1380859
Drouin Primary School,Drouin,Minor Capital Works Fund | Upgrade and Modernisation | Inclusive Schools Fund – Round 6 | Inclusive Schools Fund – Round 5,School upgrades,145.8541424,-38.1330388
Drouin Secondary College,Drouin,Upgrade and Modernisation – next stage | Inclusive Schools Fund | Upgrade and Modernisation,School upgrades,145.8511894,-38.1457719
Drouin West Kindergarten,Drouin West,Kindergarten on a School Site,Early childhood projects,145.8719428,-38.0868755
Drysdale Integrated Child and Family Centre,Drysdale,New Early Learning Facility,Early childhood projects,144.5708508,-38.1728207
Drysdale Primary School,Drysdale,Capital Works Fund | Upgrade and Modernisation,School upgrades,144.5722257,-38.1691568
Dulap Wilim Hub,Sunbury,Shared Facilities Fund,School upgrades,144.7065891,-37.58223950000001
Dunkeld Consolidated School,Dunkeld,Permanent Modular School Buildings Program,School upgrades,142.3404541,-37.6388435
Dunolly Primary School,Dunolly,Upgrade and Modernisation,School upgrades,143.7337377,-36.8516125
Dunstan Reserve Child Care Centre,Brunswick West,Building Blocks Partnership,Early childhood projects,144.9400936,-37.7548371
EACH Integrated Children's Centre,Ringwood East,Integrated Children's Centre,Early childhood projects,145.2219073,-37.81476010000001
Eaglehawk North Primary School,Eaglehawk,Minor Capital Works Fund,School upgrades,144.23727,-36.707409
Early Learning Victoria Avoca (interim name),Avoca,New Early Learning Victoria Centre,Early childhood projects,143.4742291,-37.0884697
Early Learning Victoria Bani Walup,Murtoa,New Early Learning Victoria Centre,Early childhood projects,142.4753238,-36.623718
Early Learning Victoria Clunes (interim name),Clunes,New Early Learning Victoria Centre,Early childhood projects,143.7820793,-37.3027198
Early Learning Victoria Cohuna (interim name),Cohuna,New Early Learning Victoria Centre,Early childhood projects,144.2222852,-35.8088458
Early Learning Victoria Frankston (interim name),Frankston,New Early Learning Victoria Centre,Early childhood projects,145.135722,-38.1466246
Early Learning Victoria Gamadji,Craigieburn,New Early Learning Victoria Centre,Early childhood projects,144.9100319,-37.5939825
Early Learning Victoria Hallam (interim name),Hallam,New Early Learning Victoria Centre,Early childhood projects,145.273282,-38.0063441
Early Learning Victoria Kings Park (interim name),Kings Park,New Early Learning Victoria Centre,Early childhood projects,144.7662246,-37.7334692
Early Learning Victoria Meeniyan (interim name),Meeniyan,New Early Learning Victoria Centre,Early childhood projects,146.0146765,-38.5777372
Early Learning Victoria Murrum,Weir Views,New Early Learning Victoria Centre,Early childhood projects,144.574155,-37.7309665
Early Learning Victoria Muyan,Sunshine,New Early Learning Victoria Centre,Early childhood projects,144.8293968,-37.7912022
Early Learning Victoria Newborough East (interim name),Newborough,New Early Learning Victoria Centre,Early childhood projects,146.2947106,-38.1798626
Early Learning Victoria Nicholson and District (interim name),Nicholson,New Early Learning Victoria Centre,Early childhood projects,147.7360719,-37.8152251
Early Learning Victoria Noble Park (interim name),Noble Park,New Early Learning Victoria Centre,Early childhood projects,145.1733926,-37.9650097
Early Learning Victoria Numurkah (interim name),Numurkah,New Early Learning Victoria Centre,Early childhood projects,145.4422436,-36.0884314
Early Learning Victoria Nyernilang Lar,Sailors Gully,New Early Learning Victoria Centre,Early childhood projects,144.238874,-36.7072655
Early Learning Victoria Portland South (interim name),Portland,New Early Learning Victoria Centre,Early childhood projects,141.6108652,-38.3647887
Early Learning Victoria Red Cliffs (interim name),"Red Cliffs, Mildura",New Early Learning Victoria Centre,Early childhood projects,142.186535,-34.3083479
Early Learning Victoria Shepparton (interim name),Shepparton,New Early Learning Victoria Centre,Early childhood projects,145.3993137,-36.3811027
Early Learning Victoria Teesdale (interim name),Teesdale,New Early Learning Victoria Centre,Early childhood projects,144.0484412,-38.0282575
Early Learning Victoria Umarkoo,Wollert,New Early Learning Victoria Centre,Early childhood projects,145.0313459,-37.6085118
Early Learning Victoria Wedderburn (interim name),Wedderburn,New Early Learning Victoria Centre,Early childhood projects,143.6129057,-36.4184564
Early Learning Victoria Werribee (interim name),Werribee,New Early Learning Victoria Centre,Early childhood projects,144.6642029,-37.89971970000001
Early Learning Victoria Wimbi,Fawkner,New Early Learning Victoria Centre,Early childhood projects,144.9663992,-37.698335
Early Years Hub Bayswater,Bayswater,New Early Learning Facility,Early childhood projects,145.2704817,-37.8426014
Early Years at Phoenix Park,Malvern East,Building Blocks Improvement Grant | Early Childhood Refurbishment and Minor Works,Early childhood projects,145.0822434,-37.8800142
East Beaumaris Kindergarten,,Building Blocks Planning,Early childhood projects,145.0418067,-37.9825379
East Bentleigh Primary School,East Bentleigh,Upgrade and Modernisation | School Pride and Sports Fund,School upgrades,145.0695606,-37.9345279
East Brunswick Kindergarten,Brunswick East,Building Blocks Improvement Grant,Early childhood projects,144.9803667,-37.7727187
East Doncaster Secondary College,Doncaster East,Minor Capital Works Fund,School upgrades,145.1589454,-37.7824708
East Gippsland Specialist School,Bairnsdale,Hydrotherapy Pool | Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,147.5989837,-37.8280525
East Ivanhoe Preschool,Ivanhoe East,Building Blocks Capacity Building Grant - Expansion,Early childhood projects,145.0618492,-37.7709532
East Loddon P-12 College,Dingee,"Upgrade and Modernisation – Next Stage | Upgrade and Modernisation | School Improvement Fund, Planned Maintenance Program",School upgrades,144.1414225,-36.3720254
East Preston Islamic College Early Learning Centre,Preston,New Early Learning Facility,Early childhood projects,145.0351676,-37.7339432
East Sunshine Kindergarten,Sunshine,Building Blocks Capacity Grant - Modular Kindergarten,Early childhood projects,144.8447421,-37.7876818
East West Childcare Association,Fitzroy,Building Blocks Inclusion Grant | Early Childhood Refurbishment and Minor Works,Early childhood projects,144.981201,-37.804691
Eastbourne Primary School,Capel Sound,Upgrade and Modernisation | Minor Capital Works Fund - Round 2 | Inclusive Schools Fund,School upgrades,144.8841125,-38.3742031
Eastern Ranges School,Ferntree Gully,Upgrade and Modernisation | Inclusive Schools Fund - Round 7 | Inclusive Schools Fund,School upgrades,145.2857567,-37.8800445
Eastwood Primary School,Ringwood East,Minor Capital Works Fund,School upgrades,145.2531039,-37.8171587
Echuca Twin Rivers Specialist School,Echuca,Hydrotherapy Pool,School upgrades,144.7251783,-36.1380959
Edenbrook Secondary College,Pakenham,New School – additional stage | New School,"School upgrades, New schools",145.4451037,-38.0784925
Edenhope College,Edenhope,Upgrade and Modernisation,School upgrades,141.298706,-37.0331153
Edenhope Early Childhood Service,Edenhope,Building Blocks Improvement Grant – Early Learning Facility Upgrade | Building Blocks Improvement Grant,Early childhood projects,141.2984777,-37.03582859999999
Edgars Creek Primary School,Wollert,Capital Works Fund | New School,"School upgrades, New schools",145.0028242,-37.6097607
Edgars Creek Secondary College,Wollert,"New School, Shared Facilities Fund | New School - Stage 2",New schools,145.0055341,-37.609413
Edi Upper Primary School,Edi Upper,Inclusive Schools Fund,School upgrades,146.4485315,-36.706684
Edinburgh Early Learning Centre,Lilydale,Building Blocks Capacity Grant – Expansion,Early childhood projects,145.3507921,-37.7847987
Edithvale Primary School,Edithvale,Inclusive Schools Fund | Permanent Modular School Buildings Program | Upgrade and Modernisation,School upgrades,145.1134596,-38.03742620000001
Eildon Primary School,Eildon,Upgrade and Modernisation,School upgrades,145.907037,-37.2343761
Eildon Road Childcare and Kindergarten,St Kilda,Building Blocks Partnership,Early childhood projects,144.9763773,-37.8627847
Eilleen Taylor Kindergarten,Cobram,Early Learning Facility Upgrade,Early childhood projects,145.6515844,-35.9186433
Elevation Secondary College,Craigieburn,New School - First Stage | New School - Next Stage,New schools,144.88987,-37.598505
Elisabeth Murdoch College,Langwarrin,Inclusive Schools Fund,School upgrades,145.1902033,-38.1592807
Ellinbank Primary School,Ellinbank,"School Pride and Sports Fund, School Improvement Fund",School upgrades,145.9357337,-38.2405082
Elmore Primary School,Elmore,Upgrade and Modernisation,School upgrades,144.6091588,-36.4970961
Elonera Preschool,Parkdale,Building Blocks Inclusion Grant | Building Blocks Capacity Grant - Expansion | Early Learning Facilities Upgrade,Early childhood projects,145.0883599,-37.9921776
Elsternwick Primary School,Brighton,Inclusive Schools Fund – Round 6 | Minor Capital Works Fund – hall and gym toilets refurbishment | Minor Capital Works Fund,School upgrades,144.9974344,-37.8911593
Eltham High School,Eltham,Upgrade and Modernisation – science facilities | Upgrade and Modernisation,School upgrades,145.1411595,-37.7251264
Eltham North Preschool,Eltham North,Building Blocks Inclusion Grant,Early childhood projects,145.143753,-37.6984481
Eltham North Primary School,Eltham North,Capital Works Fund | Upgrade and Modernisation,School upgrades,145.1514318,-37.6997045
Eltham Primary School,Eltham,Minor Capital Works Fund,School upgrades,145.1480831,-37.7249622
Eltham South Preschool,Eltham,Building Blocks Improvement Grant,Early childhood projects,145.1491971,-37.7278349
Elwood College,Elwood,Minor Capital Works Fund | Upgrade and Modernisation - Stage 2 | Upgrade and Modernisation - Stage 1,School upgrades,144.9851369,-37.8822042
Elwood Primary School,Elwood,Minor Capital Works Fund | Permanent Modular School Buildings Program,School upgrades,144.9886357,-37.8815971
Emerald Secondary College,Emerald,"Upgrade and Modernisation – 2023–24 funding | Upgrade and Modernisation – Blocks A, C and D | Upgrade and Modernisation",School upgrades,145.4591345,-37.9238413
Emerson School,Dandenong,Upgrade and Modernisation,School upgrades,145.2079471,-37.970149
Emma McLean Kindergarten and Daycare,Spotswood,Building Blocks Partnership,Early childhood projects,144.8863391,-37.8298089
Emmanuel College,Point Cook,Non-Government Schools Capital Fund,Non-government grants,144.7449505,-37.886047
Emmanuel College Inc. (Warrnambool),Warrnambool,Non-Government Schools Capital Fund - 2020-21,Non-government grants,142.4769951,-38.3718795
Emmaus Catholic Primary School (Sydenham),Sydenham,Building Fund for Non-Government Schools – Catholic,Non-government grants,144.7729031,-37.7002558
Emmaus College – Junior campus,Vermont South,Building Fund for Non-Government Schools – Catholic,Non-government grants,145.1752509,-37.8612176
Endeavour Hills Specialist School,Endeavour Hills,New School,New schools,145.243632,-37.9782965
Enid Rogers Jubilee Kindergarten,Wendouree,Early Learning Facility Upgrade,Early childhood projects,143.831038,-37.5429901
Epalock Crescent Kindergarten,St Albans,Building Blocks Partnership,Early childhood projects,144.8059758,-37.7603107
Eppalock Primary School,Axe Creek,Inclusive Schools Fund,School upgrades,144.3878359,-36.8418152
Epping North YMCA Early Learning Centre,Epping North,Building Blocks Improvement Grant,Early childhood projects,145.002169,-37.6221252
Epping Secondary College,Epping,Upgrade and Modernisation,School upgrades,145.0334955,-37.6437586
Epsom Primary School,Epsom,Upgrade and Modernisation - Stage 3 | Upgrade and Modernisation - Stage 2 | Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,144.3126725,-36.705304
Eskdale Primary School,Eskdale,Inclusive Schools Fund – Round 9 | Minor Capital Works Fund | Minor Capital Works Fund,School upgrades,147.251173,-36.465342
Essendon Interim Kindergarten,Essendon,Kindergarten on a School Site,Early childhood projects,144.9174876,-37.7549351
Essendon Keilor College,Keilor East,Minor Capital Works Fund - Niddrie Campus | Upgrade and Modernisation - Essendon Campus | Upgrade and Modernisation - Niddrie Campus | Planning for an Upgrade and Modernisation – East Keilor Campus,"School upgrades, Planning projects",144.869714,-37.740253
Essendon North Primary School,Essendon North,Minor Capital Works Fund | School Pride and Sports Fund | Inclusive Schools Fund,School upgrades,144.9031825,-37.741467
Essendon Primary School,Essendon,Upgrade and Modernisation – hardcourts | Upgrade and Modernisation,School upgrades,144.9211479,-37.7530068
Essex Heights Primary School,Mount Waverley,Minor Capital Works Fund | Inclusive Schools Fund,School upgrades,145.1156076,-37.8634505
Eucalyptus Parade Kindergarten,Donnybrook,Building Blocks Capacity Grant – Modular Kindergarten Building,Early childhood projects,144.9944566,-37.5402239
Euroa Primary School,Euroa,Schools Upgrade Fund | Minor Capital Works Fund,School upgrades,145.5726535,-36.7558754
Euroa Secondary College,Euroa,Permanent Modular School Buildings Program,School upgrades,145.5646351,-36.7581663
Everton Primary School,Everton,Schools Upgrade Fund,School upgrades,146.5447003,-36.4355384
Evesham Road Kindergarten,Cheltenham,Early Learning Facilities Upgrade,Early childhood projects,145.0682458,-37.96958619999999
Ewing Kindergarten Inc.,Malvern East,Building Blocks Improvement Grant - Early Learning Facility Upgrade,Early childhood projects,145.0492935,-37.8730995
Exford Primary School,Exford,Upgrade and Modernisation – Next Stage | Upgrade and Modernisation – Water and Sewerage Works | Upgrade and Modernisation,School upgrades,144.5587511,-37.7452323
Eynesbury Early Learning Centre,Eynesbury,Integrated Children's Centre,Early childhood projects,144.5570412,-37.7930182
Eynesbury Primary School,Eynesbury,New School,New schools,144.5483892,-37.7903473
FCJ College,BENALLA,Non-Government Schools Capital Fund - 2020-21,Non-government grants,145.9747662,-36.5528964
,,Building Blocks Improvement Grant – window upgrades | Building Blocks Improvement Grant – outdoor surfaces | Early Childhood Refurbishment and Minor Works,Early childhood projects,143.3906074,-36.9847807
Fairfield Primary School,Fairfield,Upgrade and Modernisation – Stage 2 and 3 | Upgrade and Modernisation – Stage 1,School upgrades,145.0214244,-37.7781787
Fairhills High School,Knoxfield,Upgrade and Modernisation,School upgrades,145.2579851,-37.8727114
Fairhills Primary School,Ferntree Gully,Minor Capital Works Fund | Minor Capital Works Fund – 2022–23 State Budget,School upgrades,145.2640434,-37.8697516
Fairy Hills Kindergarten Association Inc,Ivanhoe,Early Learning Facility Upgrade,Early childhood projects,145.0399132,-37.7781999
Falls Creek Child Care Centre,Falls Creek,Building Blocks Improvement Grant,Early childhood projects,147.2813258,-36.8636559
Falls Creek Primary School,Falls Creek,Upgrade and Modernisation,School upgrades,147.2794808,-36.8643622
Farm Road Preschool,Cheltenham,Early Learning Facilities Upgrade,Early childhood projects,145.0810445,-37.9631631
Fawkner Primary School,Fawkner,Upgrade and Modernisation - Administration Building | Upgrade and Modernisation,School upgrades,144.9746043,-37.7153976
Featherbrook P-9 College,Point Cook,New School,New schools,144.7274712,-37.9015651
Felltimber Children's Centre,West Wodonga,Building Blocks Improvement Grant,Early childhood projects,146.8207618,-36.1292171
Fern Street Children's Centre,Black Rock,Integrated Children’s Centre,Early childhood projects,145.0203595,-37.9647303
Ferny Creek Primary School,Ferny Creek,Inclusive Schools Fund – Round 8 | School Pride and Sports Fund,School upgrades,145.3351288,-37.8841476
Findon Primary School,Mill Park,Schools Upgrade Fund | School Pride and Sports Fund,School upgrades,145.0510697,-37.6666197
Fish Creek Kindergarten,Fish Creek,Early Learning Facilities Upgrade,Early childhood projects,146.0816265,-38.6920286
Fish Creek and District Primary School,Fish Creek,Permanent Modular School Buildings Program,School upgrades,146.0839453,-38.6941864
Fitzroy North Primary School,Fitzroy North,Upgrade and Modernisation,School upgrades,144.9842064,-37.7842878
Fitzroy Primary School,Fitzroy,Upgrade and Modernisation – next stage | Upgrade and Modernisation,School upgrades,144.9815058,-37.7995994
Fleetwood Primary School,Narre Warren,Upgrade and Modernisation,School upgrades,145.3170146,-38.0393438
,,Building Blocks Improvement Grant,Early childhood projects,143.3906074,-36.9847807
Flemington Education Plan,,Education Plan,Planning projects,144.9217957,-37.7853038
Flemington Primary School,Flemington,Upgrade and Modernisation,School upgrades,144.9340932,-37.7806157
Flinders Christian Community College,Tyabb,Building Fund for Non-Government Schools – Independent | Non-Government Schools Capital Fund - 2022–23,Non-government grants,145.1678098,-38.2635649
Flinders Christian Community College (Tyabb Campus) Kindergarten Infrastructure Planning Project,,Building Blocks Planning Grant,Early childhood projects,145.1669214,-38.26100539999999
Flinders Preschool,Flinders,Building Blocks Improvement Grant – Early Learning Facility Upgrade,Early childhood projects,145.0148495,-38.4744211
Footscray City Primary School,Footscray,Upgrade and Modernisation – Block C | Inclusive Schools Fund - Round 6 | Upgrade and Modernisation,School upgrades,144.8998372,-37.8063471
Footscray High School,Footscray,Upgrade and Modernisation - Kinnear Year 10-12 Campus - Stage 2 | Upgrade and Modernisation - Kinnear Year 10-12 Campus | New School Campus - Pilgrim Year 7-9 Campus | Upgrade and Modernisation - Barkly Year 7-9 Campus,"School upgrades, New schools",144.8949271,-37.7990154
Footscray Learning Precinct,"Footscray, Seddon, Yarraville, Kingsville, West Footscray",Education Plan,Planning projects,144.8785499,-37.8092614
Footscray North Primary School,Footscray,Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,144.8838205,-37.7871983
Footscray Primary School,Footscray,Upgrade and Modernisation,School upgrades,144.8924572,-37.7982321
Footscray West Primary School,West Footscray,"Upgrade and Modernisation – Gymnasium, Food Technology and Music Spaces | Permanent Modular School Buildings Program",School upgrades,144.8753898,-37.7947876
Fordham Avenue Kindergarten,Camberwell,Building Blocks Improvement Grant | Building Blocks Improvement Grant - Upgrade,Early childhood projects,145.0729313,-37.8364133
Forest Hill College,Burwood East,"Upgrade and Modernisation - Blocks A, D and M",School upgrades,145.1622986,-37.8484679
Forest Street Primary School,Wendouree,Upgrade and Modernisation,School upgrades,143.834866,-37.5228487
Forrest Learning Centre,Forrest,Building Blocks Improvement Grant - Upgrade,Early childhood projects,143.7152438,-38.5153056
Forrest Primary School,Forrest,Minor Capital Works Fund - Round 2,School upgrades,143.7144285,-38.5162677
Foster Primary School,Foster,Permanent Modular School Buildings Program,School upgrades,146.2023316,-38.6577247
Fountain Gate Kindergarten,Narre Warren,Early Childhood Refurbishment and Minor Works,Early childhood projects,145.294051,-38.00753
Fountain Gate Primary School,Narre Warren,Inclusive Schools Fund | School Pride and Sports Fund | Minor Capital Works Fund,School upgrades,145.294866,-38.009579
,,Building Fund for Non-Government Schools – Independent,Non-government grants,143.3906074,-36.9847807
Frankston City Council Kindergarten Infrastructure Planning Project,,Building Blocks Planning,Early childhood projects,145.1596592,-38.140391
Frankston Heights Primary School,Frankston,Permanent Modular School Buildings Program | School Pride and Sports Fund,School upgrades,145.1466011,-38.1620052
Frankston High School,Frankston,"Upgrade and Modernisation - Blocks A and B | Inclusive Schools Fund | Upgrade and Modernisation, School Pride and Sports Fund",School upgrades,145.1300824,-38.1623209
Frankston North Education Plan,Frankston North,Education Plan,Planning projects,145.1481719,-38.12386619999999
Frankston Primary School,Frankston,Minor Capital Works Fund – 2022–23 State Budget | Minor Capital Works Fund | School Improvement Fund,School upgrades,145.1235772,-38.147507
Frankston Special Developmental School,Frankston,Inclusive Schools Fund – Round 8 | Upgrade and Modernisation - Next Stage | Upgrade and Modernisation - Classrooms and Entry Foyer,School upgrades,145.170368,-38.1432555
Fraser Rise Childrens and Community Hub,Fraser Rise,New Early Learning Facility,Early childhood projects,144.6281692,-37.7151601
Freshwater Creek Steiner School Kindergarten,Freshwater Creek,Building Blocks Improvement Grant,Early childhood projects,144.2793533,-38.2635484
Furlong Park School For Deaf Children,Sunshine North,Upgrade and Modernisation - next stage | Upgrade and Modernisation,School upgrades,144.8270096,-37.7614255
Future Catholic Primary School Children’s Hub (Tarneit),Tarneit,Building Blocks Partnership,Early childhood projects,144.6722205,-37.8362006
Future Catholic School Kindergarten (Cobblebank),Cobblebank,Building Blocks Partnership,Early childhood projects,144.5911339,-37.7116673
Future MacKillop College Wyndham Vale Children’s Hub,Wyndham Vale,Building Blocks Partnership,Early childhood projects,144.6213448,-37.8892516
Fyans Park Primary School,Newtown,Inclusive Schools Fund - Round 9 | Permanent Modular School Buildings Program,School upgrades,144.3268043,-38.153791
Gaayip-Yagila Primary School,Mickleham,New School - Expansion | New School,New schools,144.9089897,-37.5285733
Galen Catholic College,Wangaratta,Non-Government Schools Capital Fund,Non-government grants,146.3101043,-36.34054560000001
Galilee Regional Catholic Primary School,SOUTH MELBOURNE,Non-Government Schools Capital Fund,Non-government grants,144.9548674,-37.8363621
Gamadji Primary School,Craigieburn,New School,New schools,144.9100319,-37.5939825
Ganbu Gulinj Community Centre,Wollert,New Integrated Children's Centre,Early childhood projects,145.0021969,-37.610643
Gannawarra Shire Children's Centre,Kerang,Building Blocks Capacity Grant - Expansion | Building Blocks Inclusion Grant - Buildings and Playgrounds,Early childhood projects,143.9141,-35.730495
Gardenvale Primary School,Brighton East,Upgrade and Modernisation | Inclusive Schools Fund - Round 6 | Minor Capital Works Fund,School upgrades,145.0154151,-37.9026037
Garrang Wilam Primary School,Truganina,New School,New schools,144.7249756,-37.8277864
Geelong East Primary School,Geelong East,Upgrade and Modernisation – Classrooms | Upgrade and Modernisation,School upgrades,144.3824209,-38.1756104
Geelong High School,East Geelong,Schools Upgrade Fund | Upgrade and Modernisation,School upgrades,144.373981,-38.152812
Geelong Lutheran College,Armstrong Creek,Building Fund for Non-Government Schools – Independent | Non-Government Schools Capital Fund - 2022–23 | Non-Government Schools Capital Fund,Non-government grants,144.3382025,-38.2304637
Geelong South Primary School,South Geelong,Inclusive Schools Fund - Round 7 | Upgrade and Modernisation | Minor Capital Works Fund - Round 2,School upgrades,144.3587182,-38.1568177
Geelong Tech School,Geelong,Tech Schools,Tech schools,144.3532688,-38.1461322
Gembrook Primary School,Gembrook,Inclusive Schools Fund – Round 8,School upgrades,145.5451841,-37.9512104
Generations Early Learning,Merbein,Integrated Children's Centre,Early childhood projects,142.0562744,-34.1634559
George Street Primary School - Hamilton,Hamilton,Schools Upgrade Fund | Permanent Modular School Buildings Program | Upgrade and Modernisation,School upgrades,142.0359227,-37.74638059999999
Gilgai Plains Primary School,Kalkallo,New School,New schools,144.9585066,-37.5323844
Gilson College,TAYLORS HILL,Building Fund for Non-Government Schools – Independent | Non-Government Schools Capital Fund,Non-government grants,144.7622531,-37.7236414
Gilson College Early Learning Centre,Taylors Hill,New Early Learning Facility,Early childhood projects,144.7628526,-37.7245963
Gippsland Grammar,SALE,Non-Government Schools Capital Fund,Non-government grants,147.066307,-38.1126953
Gippsland Lakes Complete Health Children's Centre,Lakes Entrance,Building Blocks Improvement Grant | Building Blocks Inclusion Grant - Buildings and Playgrounds | Early Learning Facility Upgrade,Early childhood projects,148.0030974,-37.8728857
Gippsland Lakes Early Learning Centre,Lakes Entrance,Kindergarten on a School Site,Early childhood projects,147.9865459,-37.8809878
Gippsland Tech School,Morwell,Tech Schools,Tech schools,146.4217834,-38.2395172
Girgarre Community Kindergarten,Girgarre,Early Childhood Refurbishment and Minor Works,Early childhood projects,144.9798452,-36.3946096
Girrabanya Children's Centre,Ballarat,Early Learning Facility Upgrade,Early childhood projects,143.8628284,-37.5655772
Gisborne Primary School,Gisborne,Upgrade and Modernisation - Stage 2 | Upgrade and Modernisation - Stage 1,School upgrades,144.5884138,-37.4904052
Gisborne Secondary College,Gisborne,Upgrade and Modernisation – trades hub | Upgrade and Modernisation,School upgrades,144.5851998,-37.4982603
Gladesville Primary School,Kilsyth,Inclusive Schools Fund,School upgrades,145.3236808,-37.8117242
Gladstone Park Primary School,Gladstone Park,Schools Upgrade Fund | Upgrade and Modernisation - Block B | Upgrade and Modernisation,School upgrades,144.8870904,-37.6877579
Gladstone Park Secondary College,Gladstone Park,Upgrade and Modernisation,School upgrades,144.8907169,-37.6885865
Gladstone Views Primary School,Gladstone Park,Upgrade and Modernisation,School upgrades,144.8981844,-37.6891575
Gladstone Views Primary School Kindergarten (interim name),Gladstone Park,Kindergarten on a School Site,Early childhood projects,144.8981844,-37.6891575
Gladysdale Primary School,Gladysdale,Upgrade and Modernisation,School upgrades,145.650711,-37.8204383
Glass Street Kindergarten,Kew East,Building Blocks Planning Grant,Early childhood projects,145.0605076,-37.7941706
,,,Early childhood projects,143.3906074,-36.9847807
Glen Eira College,Caulfield East,Upgrade and Modernisation - Building Capacity | Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,145.0378678,-37.8852032
Glen Huntly Primary School,Glen Huntly,Upgrade and Modernisation | School Pride and Sports Fund,School upgrades,145.0463746,-37.893634
Glen Iris Primary School,Glen Iris,Inclusive Schools Fund – Round 9 | Minor Capital Works Fund,School upgrades,145.065655,-37.8597763
Glen Katherine Primary School,Eltham North,Inclusive Schools Fund – Round 8,School upgrades,145.1397426,-37.68982
Glen Waverley Primary School,Glen Waverley,Upgrade and Modernisation,School upgrades,145.1684845,-37.8751608
Glen Waverley South Primary School,Glen Waverley,Upgrade and Modernisation,School upgrades,145.1680814,-37.8975588
Glenallen School,Glen Waverley,Upgrade and Modernisation - Stage 3 | Upgrade and Modernisation - Stage 2 | Upgrade and Modernisation - Stage 1,School upgrades,145.161984,-37.8872618
Glendal Primary School,Glen Waverley,Minor Capital Works Fund,School upgrades,145.1586511,-37.8667076
Glengala Primary School,Sunshine West,Permanent Modular School Buildings Program - Round 3 | Permanent Modular School Buildings Program - Round 1,School upgrades,144.8139327,-37.7989294
Glengala Primary School Kindergarten (interim name),Sunshine West,Kindergarten on a School Site,Early childhood projects,144.8139327,-37.7989294
Glengarry Preschool,Glengarry,Building Blocks Partnership,Early childhood projects,146.5736527,-38.1264622
Glengarry Primary School,Glengarry,Inclusive Schools Fund – Round 8 | Minor Capital Works Fund - Round 2 | Minor Capital Works Fund,School upgrades,146.5713629,-38.1275584
Glenrowan Primary School,Glenrowan,Minor Capital Works Fund,School upgrades,146.2222217,-36.4602314
Glenroy Central Kindergarten,Glenroy,Building Blocks Improvement Grant | Building Blocks Capacity Grant – Modular Kindergarten Building | Early Childhood Refurbishment and Minor Works,Early childhood projects,144.9250964,-37.7046978
Glenroy Central Primary School,Glenroy,Inclusive Schools Fund – Round 8 | Upgrade and Modernisation,School upgrades,144.9250022,-37.7047474
Glenroy College,Glenroy,Planning for an Upgrade and Modernisation | Inclusive Schools Fund – Round 6 | Permanent Modular School Buildings Program,"Planning projects, School upgrades",144.9266446,-37.7049315
,,Integrated Children’s Centre,Early childhood projects,143.3906074,-36.9847807
Glenroy Private,Glenroy,Building Fund for Non-Government Schools – Independent | Non-Government Schools Capital Fund - 2022–23,Non-government grants,144.9293523,-37.6976686
Glenroy Specialist School,Glenroy,Upgrade and Modernisation,School upgrades,144.9196538,-37.6987374
Glenroy West Kindergarten,Glenroy,Building Blocks Planning Grant – Expansion,Early childhood projects,144.916396,-37.7102001
Glenroy West Primary School,Glenroy,Inclusive Schools Fund | Upgrade and Modernisation,School upgrades,144.9087142,-37.70651300000001
Glowrey Catholic Primary School,Wollert,Non-Government Schools Capital Fund - 2020-21 | Non-Government Schools Capital Fund,Non-government grants,145.0326422,-37.6158227
Glowrey Children's Hub (Wollert),Wollert,Building Blocks Partnership,Early childhood projects,145.0326422,-37.6158227
